"gender","height","handsize","age","gaming","chat","maps","video","social","reading","total_minutes","days_ago","years_ago","discount","phone_id","brand","size_cat","price","screen_size","review"
"female",66.9,7.62,20,141.561181267987,349.465784571172,94.6910952090908,158.095226393518,257.225154848255,122.6261641218,1123.66460641182,1078.55836735154,3,"H2","H1","huawei","s",599,5.2,"Huawei delivers a seamless experience with stellar battery life. Perfect for power users who need a reliable companion throughout their bustling week."
"male",66.2,6.28,18,221.953180790535,285.074963982698,141.505602768653,330.158992455782,273.874251505474,139.874973949872,1392.44196545301,119.772442061454,1,"","H2","huawei","l",799,6.3,"Huawei offers great battery life for heavy users like myself. The sleek design and fast performance make it a top choice for multitasking."
"female",59.8,5.08,22,510.299827552946,185.483866166555,63.506986458715,587.438006784305,203.513296963433,45.4346280407003,1595.67661196665,25.6686705560423,1,"S1","S1","samsung","s",719.1,6.1,"Impressive samsung performance for heavy users like me, who need a reliable device for constant communication and multitasking on-the-go."
"male",69.4,7.63,19,267.241914794425,257.78584842676,67.5721077948578,258.165654354849,250.067350832919,168.471651621692,1269.3045278255,181.84444182599,1,"H1","H2","huawei","l",799,6.3,"Huawei phones offer reliable performance for heavy users. With its sleek design and long battery life, it's ideal for someone who's always on the go."
"female",58.8,5.55,20,226.414746399562,337.824572099101,150.466787695384,213.811306278391,281.2461912912,118.820652358451,1328.58425612209,55.354150777217,1,"","S1","samsung","s",799,6.1,"Samsung phone has outstanding battery life for heavy users like me who are constantly on the go. The camera quality is exceptional for capturing everyday moments."
"female",59.9,6.02,20,323.223356659926,163.953736883621,71.3862176511865,513.803206414027,81.7500025962165,33.6944351857719,1187.81095539075,643.167793818749,2,"A1","S1","samsung","s",749,5.8,"Samsung provides a sleek, high-performing device for heavy users like me. The battery life impresses, allowing me to stay connected all day."
"female",67.6,7.68,21,246.834985037028,170.186873027941,50.7190871514759,291.608058839509,88.574117909878,13.9476314767961,861.870753442628,821.194792053197,3,"","S2","samsung","l",799,5.9,"Samsung delivers a seamless experience for heavy phone users with its impressive battery life and smooth performance. Ideal for those constantly on the go."
"female",59.1,5.58,22,147.216994156041,257.34733936614,138.217499803887,270.060963185696,170.732329783569,182.822715590234,1166.39784188557,910.402496752795,3,"","H1","huawei","s",599,5.2,"I've been thoroughly impressed with my Huawei - it effortlessly keeps up with my heavy weekly phone usage. The battery life is exceptional."
"male",72,8.81,19,87.2901073968005,148.321439305573,81.9694417097805,270.967865744485,72.6193764472572,180.292270226972,841.460500830869,917.552754095756,3,"S2","A2","apple","l",899,5.8,"Sleek and user-friendly, this Apple device seamlessly integrates into my busy week of work calls, video meetings, and social media browsing."
"female",56.3,5.78,20,183.235409265659,298.61830471191,130.749575239024,243.058539712519,163.942228230879,0,1019.60405715999,564.299270707183,2,"H1","H1","huawei","s",629.1,5.7,"Top-notch performance and sleek design make this Huawei smartphone a standout choice for busy professionals on the go. Its advanced features cater well to power users who demand efficiency and productivity in their daily tasks."
